"","x"
"1",0.729674796747967
"2",0.694045174537988
"3",0.70954356846473
"4",0.710691823899371
"5",0.716101694915254
"6",0.706638115631692
"7",0.746753246753247
"8",0.733041575492341
"9",0.767699115044248
"10",0.774049217002237
"11",0.710407239819005
"12",0.757437070938215
"13",0.770833333333333
"14",0.762910798122066
"15",0.753554502369668
"16",0.774580335731415
"17",0.733009708737864
"18",0.751231527093596
"19",0.753731343283582
"20",0.758186397984887
"21",0.767263427109974
"22",0.736434108527132
"23",0.767015706806283
"24",0.768617021276596
"25",0.787061994609164
"26",0.762942779291553
"27",0.781767955801105
"28",0.764044943820225
"29",0.780626780626781
"30",0.786743515850144
"31",0.771260997067449
"32",0.797619047619048
"33",0.798192771084337
"34",0.782208588957055
"35",0.775700934579439
"36",0.778481012658228
"37",0.778135048231511
"38",0.761437908496732
"39",0.780730897009967
"40",0.791245791245791
"41",0.742268041237113
"42",0.772727272727273
"43",0.761565836298932
"44",0.778985507246377
"45",0.785977859778598
"46",0.759398496240602
"47",0.75
"48",0.76953125
"49",0.776892430278884
"50",0.784552845528455
"51",0.784232365145228
"52",0.783898305084746
"53",0.787878787878788
"54",0.773333333333333
"55",0.796380090497738
"56",0.74537037037037
"57",0.785714285714286
"58",0.775609756097561
"59",0.796019900497512
"60",0.816326530612245
"61",0.763157894736842
"62",0.774193548387097
"63",0.795580110497238
"64",0.822857142857143
"65",0.782352941176471
"66",0.753012048192771
"67",0.78125
"68",0.780645161290323
"69",0.793333333333333
"70",0.786206896551724
"71",0.75
"72",0.740740740740741
"73",0.83206106870229
"74",0.752
"75",0.766666666666667
"76",0.808695652173913
"77",0.745454545454545
"78",0.79047619047619
"79",0.75
"80",0.747368421052632
"81",0.766666666666667
"82",0.729411764705882
"83",0.7875
"84",0.826666666666667
"85",0.814285714285714
"86",0.769230769230769
"87",0.796610169491525
"88",0.909090909090909
"89",0.88
"90",0.795454545454545
"91",0.875
"92",0.628571428571429
"93",0.866666666666667
"94",0.666666666666667
"95",1
"96",0.6
"97",0.666666666666667
"98",0.75
