"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-07-01;126,90040303191;121,252487;126,939671215524;125,98957272418;NA;NA;"0";"N/A";"N/A";"N/A";"N/A";NA;"N/A";NA;"N/A";NA;"N/A";"N/A";"N/A";"N/A"
2015-07-02;126,430128871842;121,099236;126,689681959765;125,770231906608;NA;NA;"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;NA;NA
2015-07-06;124,939868613492;120,677834;126,229972124587;124,849839118286;NA;NA;"1";"0";NA;NA;NA;NA;NA;0,978061716489875;NA;NA;"0";"NaN";NA;NA
2015-07-07;125,889964885003;120,380928;126,150475760132;123,770440742868;NA;NA;"0";"1";"1";NA;NA;NA;NA;1,02922640617615;NA;NA;"0";"NaN";NA;NA
2015-07-08;124,480143334829;117,392715;124,640089352656;122,539720388023;NA;NA;"0";"1";"1";NA;NA;1,11188260889691;NA;1,09049636803874;NA;NA;"1";"NaN";NA;NA
2015-07-09;123,849937369601;114,998314;124,059686938736;119,220122679204;NA;NA;"0";"0";"1";"1";NA;1,03417796110784;"0";0,997595102754701;"1";0,5;"0";"0";NA;NA
2015-07-10;121,940161168512;118,072723;123,849935759458;121,210347608682;NA;NA;"1";"0";"0";"0";NA;0,821621621621622;"0";0,815361890694239;"0";0,5;"0";"0";NA;"NaN"
2015-07-13;125,029894751746;120,352196;125,759708299675;124,320194175611;NA;NA;"1";"1";"0";"0";NA;0,93166674542791;"1";0,985585735710715;"0";0,5;"0";"0";NA;"NaN"
2015-07-14;126,040324707123;120,304298;126,369794320868;125,040422739826;NA;NA;"0";"1";"0";"1";NA;0,972488496932515;"1";1,05888492650257;"0";0,5;"0";"NaN";NA;"NaN"
2015-07-15;125,720441751616;121,463196;127,150378288661;125,579650947232;NA;NA;"1";"0";"1";"0";NA;0,917018355621091;"0";0,932201929703653;"0";0,5;"0";"NaN";NA;"NaN"
